profile name,subscription type,monthly revenue,join date,last payment date,country_x,age,gender,device,plan duration,start time,duration,attributes,title,supplemental video type,device type_x,bookmark,latest bookmark,country_y,esn,device type_y,acct first playback date,acct last playback date,acct first playback date for user generated plays,acct last playback date for user generated plays,profile first playback date,profile last playback date,profile first playback date for user generated plays,profile last playback date for user generated plays,deactivation time,days since last payment,churn,listed_in,primary_genre,genre_Action & Adventure,genre_Children & Family Movies,genre_Comedies,genre_Crime TV Shows,genre_Documentaries,genre_Dramas,genre_Horror Movies,genre_International Movies,genre_International TV Shows,genre_Kids' TV,genre_Thrillers,genre_Unknown
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2022-06-15 08:54:43,00:00:01,,Stranger Things: Season 1: Chapter Two: The Weirdo on Maple Street (Episode 2),,Device Type 0,00:00:01,00:00:01,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-01-26 11:07:02,00:11:24,,Friends: Season 5: The One After Ross Says Rachel (Episode 1),,Device Type 0,00:14:28,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
1889,Basic,13,20-10-22,2023-07-07,Australia,37,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,556,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-04 16:11:41,00:11:21,,The IT Crowd: Series 3: Friendface (Episode 5),,Device Type 0,00:22:34,00:22:34,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
7,Standard,12,09-12-21,2023-06-25,Brazil,46,Male,Tablet,1.0,2023-04-24 11:51:56,00:00:14,,365 Days,,Device Type 1,01:50:12,Not latest view,IN (India),,,,,,,,,,,,568,1,"Dramas, International Movies, Romantic Movies",Dramas,False,False,False,False,False,True,False,False,False,False,False,False
2371,Premium,15,03-10-22,2023-10-07,France,29,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,464,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2022-10-23 05:48:23,00:09:19,,Narcos: Mexico: Season 2: El Dedazo (Episode 6),,Device Type 1,00:52:32,00:52:32,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
1732,Standard,12,14-08-22,2023-07-07,Spain,33,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,556,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-04-08 19:36:25,00:21:27,,Brooklyn Nine-Nine: Season 3: Boyle's Hunch (Episode 3),,Device Type 0,00:21:33,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-03-12 07:40:39,00:31:44,,Suits: Season 5: Live to Fight... (Episode 12),,Device Type 0,00:42:53,00:42:53,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
713,Standard,10,01-11-22,2023-06-27,United States,30,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,566,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-20 16:43:24,00:05:16,,The Good Doctor: Season 3: Fixation (Episode 17),,Device Type 0,00:28:25,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
