profile name,subscription type,monthly revenue,join date,last payment date,country_x,age,gender,device,plan duration,start time,duration,attributes,title,supplemental video type,device type_x,bookmark,latest bookmark,country_y,esn,device type_y,acct first playback date,acct last playback date,acct first playback date for user generated plays,acct last playback date for user generated plays,profile first playback date,profile last playback date,profile first playback date for user generated plays,profile last playback date for user generated plays,deactivation time,listed_in,days since last payment,churn,primary_genre
2331,Premium,13,16-10-22,2023-10-07 00:00:00.000000,Spain,32,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
435,Basic,11,17-10-22,2023-06-28 00:00:00.000000,Germany,39,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
1661,Basic,13,10-08-22,2023-05-07 00:00:00.000000,United States,49,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
1128,Standard,10,05-11-22,2023-03-07 00:00:00.000000,Mexico,42,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
1606,Premium,15,08-10-22,2023-07-07 00:00:00.000000,France,35,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
1587,Premium,12,18-07-22,2023-06-07 00:00:00.000000,Canada,28,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
1163,Standard,13,22-06-22,2023-03-07 00:00:00.000000,United States,47,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
2171,Basic,12,26-10-22,2023-11-07 00:00:00.000000,United States,41,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
79,Standard,15,03-12-22,2023-06-25 00:00:00.000000,Spain,43,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,563,1,
1649,Premium,15,27-06-22,2023-05-07 00:00:00.000000,Australia,30,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
65,Basic,10,29-03-23,2023-06-28 00:00:00.000000,Germany,40,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
1613,Standard,15,23-10-22,2023-06-07 00:00:00.000000,United States,40,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
1390,Basic,11,13-09-22,2023-05-07 00:00:00.000000,United States,51,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
727,Basic,11,04-08-22,2023-06-29 00:00:00.000000,Spain,32,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
463,Standard,11,01-06-22,2023-06-26 00:00:00.000000,United Kingdom,40,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,562,1,
339,Premium,13,05-10-22,2023-06-25 00:00:00.000000,Spain,30,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,563,1,
922,Basic,13,07-11-22,2023-01-07 00:00:00.000000,Spain,34,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,732,1,
152,Premium,14,23-11-22,2023-06-27 00:00:00.000000,Canada,33,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
2068,Standard,14,10-07-22,2023-11-07 00:00:00.000000,United Kingdom,47,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
2320,Basic,14,10-11-22,2023-11-07 00:00:00.000000,United States,50,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
836,Basic,15,04-10-22,2023-01-07 00:00:00.000000,United States,28,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,732,1,
2088,Standard,10,16-09-22,2023-09-07 00:00:00.000000,Mexico,42,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
2474,Premium,10,06-09-22,2023-12-07 00:00:00.000000,Australia,49,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,398,1,
1347,Basic,13,14-10-22,2023-04-07 00:00:00.000000,Canada,30,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,642,1,
2404,Standard,12,17-09-22,2023-12-07 00:00:00.000000,Spain,48,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,398,1,
118,Standard,12,07-08-22,2023-06-27 00:00:00.000000,Mexico,33,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
1471,Premium,10,19-10-22,2023-06-07 00:00:00.000000,France,51,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
1193,Standard,14,16-10-22,2023-03-07 00:00:00.000000,United States,34,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
975,Basic,12,02-10-22,2023-06-30 00:00:00.000000,Germany,36,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
32,Basic,10,07-07-22,2023-06-28 00:00:00.000000,Canada,37,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
777,Basic,11,28-10-22,2023-06-30 00:00:00.000000,Canada,31,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
1170,Basic,11,20-07-22,2023-02-07 00:00:00.000000,Germany,33,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
714,Premium,15,30-10-22,2023-06-29 00:00:00.000000,Canada,29,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
1130,Basic,14,08-11-22,2023-03-07 00:00:00.000000,Italy,27,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
1344,Premium,11,29-10-22,2023-05-07 00:00:00.000000,Canada,32,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
562,Basic,14,19-09-22,2023-06-30 00:00:00.000000,Spain,37,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
2020,Basic,12,23-09-22,2023-11-07 00:00:00.000000,United States,37,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
1611,Premium,15,19-10-22,2023-07-07 00:00:00.000000,Spain,49,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
1340,Basic,14,05-11-22,2023-06-07 00:00:00.000000,Italy,40,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
314,Basic,10,21-04-22,2023-06-26 00:00:00.000000,Australia,28,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,562,1,
147,Basic,12,08-11-22,2023-06-24 00:00:00.000000,Brazil,49,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,564,1,
2411,Basic,15,02-08-22,2023-11-07 00:00:00.000000,United States,37,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
311,Basic,15,07-06-22,2023-06-27 00:00:00.000000,United States,29,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
728,Standard,14,04-08-22,2023-06-29 00:00:00.000000,United States,39,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
1966,Premium,10,04-11-22,2023-09-07 00:00:00.000000,France,44,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
1014,Premium,10,28-06-22,2023-02-07 00:00:00.000000,Canada,35,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
635,Basic,13,03-10-22,2023-06-27 00:00:00.000000,Italy,29,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
1107,Basic,15,31-08-22,2023-01-07 00:00:00.000000,Canada,36,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,732,1,
84,Standard,12,13-04-23,2023-06-25 00:00:00.000000,Australia,32,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,563,1,
2018,Standard,10,16-09-22,2023-09-07 00:00:00.000000,United States,41,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
1908,Standard,15,19-09-22,2023-09-07 00:00:00.000000,Mexico,41,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
307,Standard,11,08-07-22,2023-06-28 00:00:00.000000,Brazil,29,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
