profile name,source,navigation level,referrer url,webpage url,click utc ts,total_clicks,click_time
User 4,Source 0,signupPrompt,,,10/8/22 14:04,1433,2022-10-08 14:04:00
User 4,Source 0,browseTitles,,,10/8/22 14:04,1433,2022-10-08 14:04:00
User 4,Source 1,movieDetails,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,browseTitles,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,movieDetails,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,episodesSelector,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,episodesSelector,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,movieDetails,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,playback,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,movieDetails,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,movieDetails,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,playback,,,9/30/22 14:53,1433,2022-09-30 14:53:00
User 4,Source 1,profilesGate,,,9/30/22 14:52,1433,2022-09-30 14:52:00
User 4,Source 1,movieDetails,,,9/30/22 14:52,1433,2022-09-30 14:52:00
User 4,Source 1,profilesGate,,,9/30/22 14:52,1433,2022-09-30 14:52:00
User 4,Source 0,profilesGate,,,9/25/22 4:48,1433,2022-09-25 04:48:00
User 4,Source 0,browseTitles,,,9/25/22 4:48,1433,2022-09-25 04:48:00
User 4,Source 0,browseTitles,,,9/25/22 4:48,1433,2022-09-25 04:48:00
User 4,Source 0,browseTitles,,,9/25/22 4:48,1433,2022-09-25 04:48:00
User 4,Source 0,settings,,,9/24/22 21:52,1433,2022-09-24 21:52:00
User 4,Source 0,accountMenu,,,9/24/22 21:52,1433,2022-09-24 21:52:00
User 4,Source 0,webLink,,,9/24/22 21:52,1433,2022-09-24 21:52:00
User 4,Source 0,accountMenu,,,9/24/22 21:52,1433,2022-09-24 21:52:00
