profile name,esn,device type,acct first playback date,acct last playback date,acct first playback date for user generated plays,acct last playback date for user generated plays,profile first playback date,profile last playback date,profile first playback date for user generated plays,profile last playback date for user generated plays,deactivation time,acct_first_playback_date,acct_last_playback_date,playback_duration_days
User 3,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,,2022-04-01 09:32:16.028000+00:00,2022-11-07 12:57:43.624000+00:00,220.0
User 1,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,,,,,,2021-12-24 14:40:29.147000+00:00,2022-10-06 17:29:04.497000+00:00,286.0
User 2,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,,,,,,2021-12-24 14:40:29.147000+00:00,2022-10-06 17:29:04.497000+00:00,286.0
User 3,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,,,,,,2021-12-24 14:40:29.147000+00:00,2022-10-06 17:29:04.497000+00:00,286.0
User 0,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2022-08-03T16:57:01.297Z,2022-10-06T17:29:04.497Z,2022-08-03T16:57:01.297Z,2022-10-06T17:29:04.497Z,,2021-12-24 14:40:29.147000+00:00,2022-10-06 17:29:04.497000+00:00,286.0
User 4,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,,2021-10-31 07:55:44.140000+00:00,2022-09-30 14:54:39.201000+00:00,334.0
User 2,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,,,,,,2022-04-01 09:32:16.028000+00:00,2022-11-07 12:57:43.624000+00:00,220.0
User 0,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,,,,,,2022-04-01 09:32:16.028000+00:00,2022-11-07 12:57:43.624000+00:00,220.0
User 4,Esn 31,Device Type 1,2021-12-20T07:25:51.497Z,2022-09-12T04:59:59.916Z,2021-12-20T07:25:51.497Z,2022-09-12T04:59:59.916Z,2021-12-20T07:28:30.100Z,2022-09-12T04:59:59.916Z,2021-12-20T07:28:30.100Z,2022-09-12T04:59:59.916Z,,2021-12-20 07:25:51.497000+00:00,2022-09-12 04:59:59.916000+00:00,265.0
User 4,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-23T10:31:24.249Z,2022-09-04T16:32:31.113Z,2022-04-23T10:31:24.249Z,2022-09-04T16:32:31.113Z,,2022-04-01 09:32:16.028000+00:00,2022-11-07 12:57:43.624000+00:00,220.0
User 4,Esn 41,Device Type 2,2021-12-24T10:17:58.120Z,2022-08-28T14:14:04.463Z,2021-12-24T10:17:58.120Z,2022-08-03T19:31:35.116Z,2021-12-24T10:17:58.120Z,2022-08-28T14:14:04.463Z,2021-12-24T10:17:58.120Z,2022-08-03T19:31:35.116Z,,2021-12-24 10:17:58.120000+00:00,2022-08-28 14:14:04.463000+00:00,247.0
User 0,Esn 4,Device Type 0,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,,2022-08-20 08:12:12.572000+00:00,2022-08-20 08:13:35.880000+00:00,0.0
User 4,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,2022-08-17 06:29:39.158000+00:00,2022-08-17 06:29:39.158000+00:00,0.0
User 2,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,,,,,2022-08-17 06:29:39.158000+00:00,2022-08-17 06:29:39.158000+00:00,0.0
User 3,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,,,,,2022-08-17 06:29:39.158000+00:00,2022-08-17 06:29:39.158000+00:00,0.0
User 0,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,,,,,2022-08-17 06:29:39.158000+00:00,2022-08-17 06:29:39.158000+00:00,0.0
User 1,Esn 5,Device Type 2,2022-08-17T06:29:39.158Z,2022-08-17T06:29:39.158Z,,,,,,,,2022-08-17 06:29:39.158000+00:00,2022-08-17 06:29:39.158000+00:00,0.0
User 4,Esn 4,Device Type 0,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,,,,,,2022-08-20 08:12:12.572000+00:00,2022-08-20 08:13:35.880000+00:00,0.0
User 2,Esn 4,Device Type 0,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,,,,,,2022-08-20 08:12:12.572000+00:00,2022-08-20 08:13:35.880000+00:00,0.0
User 3,Esn 4,Device Type 0,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,,,,,,2022-08-20 08:12:12.572000+00:00,2022-08-20 08:13:35.880000+00:00,0.0
User 1,Esn 4,Device Type 0,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,2022-08-20T08:12:12.572Z,2022-08-20T08:13:35.880Z,,,,,,2022-08-20 08:12:12.572000+00:00,2022-08-20 08:13:35.880000+00:00,0.0
User 4,Esn 6,Device Type 0,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-10-06T17:29:04.497Z,2021-12-24T14:40:29.147Z,2022-08-09T04:44:47.641Z,2021-12-24T14:40:29.147Z,2022-08-09T04:44:47.641Z,,2021-12-24 14:40:29.147000+00:00,2022-10-06 17:29:04.497000+00:00,286.0
User 4,Esn 42,Device Type 2,2021-11-03T16:16:21.192Z,2022-07-09T15:39:17.572Z,2021-11-03T16:16:21.192Z,2022-07-09T15:39:17.572Z,2021-11-03T16:16:21.192Z,2022-07-09T15:39:17.572Z,2021-11-03T16:16:21.192Z,2022-07-09T15:39:17.572Z,,2021-11-03 16:16:21.192000+00:00,2022-07-09 15:39:17.572000+00:00,247.0
User 4,Esn 7,Device Type 0,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,,2022-06-27 05:10:57.608000+00:00,2022-07-01 17:39:31.068000+00:00,4.0
User 2,Esn 7,Device Type 0,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,,,,,,2022-06-27 05:10:57.608000+00:00,2022-07-01 17:39:31.068000+00:00,4.0
User 3,Esn 7,Device Type 0,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,,,,,,2022-06-27 05:10:57.608000+00:00,2022-07-01 17:39:31.068000+00:00,4.0
User 0,Esn 7,Device Type 0,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,,,,,,2022-06-27 05:10:57.608000+00:00,2022-07-01 17:39:31.068000+00:00,4.0
User 1,Esn 7,Device Type 0,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,2022-06-27T05:10:57.608Z,2022-07-01T17:39:31.068Z,,,,,,2022-06-27 05:10:57.608000+00:00,2022-07-01 17:39:31.068000+00:00,4.0
User 4,Esn 12,Device Type 6,2021-12-16T15:14:31.948Z,2022-06-19T12:04:22.627Z,2021-12-16T15:14:43.440Z,2022-06-19T12:02:51.116Z,2022-06-19T09:01:35.560Z,2022-06-19T12:04:22.627Z,2022-06-19T09:03:58.220Z,2022-06-19T12:02:51.116Z,,2021-12-16 15:14:31.948000+00:00,2022-06-19 12:04:22.627000+00:00,184.0
User 2,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,2022-06-14T08:00:55.160Z,2022-06-15T15:14:06.286Z,2022-06-14T08:01:06.561Z,2022-06-15T15:09:33.023Z,,2021-10-31 07:55:44.140000+00:00,2022-09-30 14:54:39.201000+00:00,334.0
User 3,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,,,,,,2021-10-31 07:55:44.140000+00:00,2022-09-30 14:54:39.201000+00:00,334.0
User 0,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,,,,,,2021-10-31 07:55:44.140000+00:00,2022-09-30 14:54:39.201000+00:00,334.0
User 1,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,,,,,,2021-10-31 07:55:44.140000+00:00,2022-09-30 14:54:39.201000+00:00,334.0
User 1,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-26T02:13:00.579Z,2022-04-28T16:08:56.782Z,2022-04-26T02:13:00.579Z,2022-04-28T16:08:56.782Z,,2022-04-25 14:39:12.886000+00:00,2022-04-28 16:08:56.782000+00:00,3.0
User 4,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,,,,,,2022-04-25 14:39:12.886000+00:00,2022-04-28 16:08:56.782000+00:00,3.0
User 2,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,,,,,,2022-04-25 14:39:12.886000+00:00,2022-04-28 16:08:56.782000+00:00,3.0
User 3,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,,,,,,2022-04-25 14:39:12.886000+00:00,2022-04-28 16:08:56.782000+00:00,3.0
User 0,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-25T14:39:12.886Z,2022-04-25T14:39:12.886Z,2022-04-25T14:39:12.886Z,,2022-04-25 14:39:12.886000+00:00,2022-04-28 16:08:56.782000+00:00,3.0
User 1,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-23T10:32:15.512Z,2022-04-23T13:44:09.084Z,2022-04-23T10:32:15.512Z,2022-04-23T13:44:09.084Z,,2022-04-01 09:32:16.028000+00:00,2022-11-07 12:57:43.624000+00:00,220.0
User 4,Esn 44,Device Type 3,2021-11-30T06:39:57.423Z,2022-03-07T07:26:14.248Z,2021-11-30T06:48:08.601Z,2022-03-07T07:08:55.404Z,2021-11-30T06:39:57.423Z,2022-03-07T07:26:14.248Z,2021-11-30T06:48:08.601Z,2022-03-07T07:08:55.404Z,,2021-11-30 06:39:57.423000+00:00,2022-03-07 07:26:14.248000+00:00,97.0
User 1,Esn 15,Device Type 7,2021-10-30T03:03:59.713Z,2022-01-01T10:01:39.324Z,2021-10-30T03:03:59.713Z,2022-01-01T08:57:31.894Z,2021-12-11T13:51:00.136Z,2022-01-01T10:01:39.324Z,2021-12-11T13:53:59.936Z,2022-01-01T08:57:31.894Z,,2021-10-30 03:03:59.713000+00:00,2022-01-01 10:01:39.324000+00:00,63.0
User 1,Esn 12,Device Type 6,2021-12-16T15:14:31.948Z,2022-06-19T12:04:22.627Z,2021-12-16T15:14:43.440Z,2022-06-19T12:02:51.116Z,2021-12-16T15:14:31.948Z,2021-12-27T16:07:23.508Z,2021-12-16T15:14:43.440Z,2021-12-27T16:07:23.508Z,,2021-12-16 15:14:31.948000+00:00,2022-06-19 12:04:22.627000+00:00,184.0
User 0,Esn 8,Device Type 0,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,,,,,,2021-12-25 07:00:49.496000+00:00,2022-06-05 13:59:56.865000+00:00,162.0
User 1,Esn 8,Device Type 0,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,,,,,,2021-12-25 07:00:49.496000+00:00,2022-06-05 13:59:56.865000+00:00,162.0
User 4,Esn 10,Device Type 1,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,1970-01-01T00:00:00.000Z,2021-12-08 14:39:26.777000+00:00,2022-01-16 18:47:14.064000+00:00,39.0
User 4,Esn 34,Device Type 0,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,1970-01-01T00:00:00.000Z,2021-11-25 16:37:44.923000+00:00,2021-12-11 16:48:37.471000+00:00,16.0
User 4,Esn 48,Device Type 0,2021-11-03T15:26:51.927Z,2021-12-15T15:29:15.823Z,2021-11-03T15:26:51.927Z,2021-12-15T15:29:15.823Z,2021-11-03T15:26:51.927Z,2021-12-15T15:29:15.823Z,2021-11-03T15:26:51.927Z,2021-12-15T15:29:15.823Z,1970-01-01T00:00:00.000Z,2021-11-03 15:26:51.927000+00:00,2021-12-15 15:29:15.823000+00:00,42.0
