profile name,country iso code,device,is kids,query typed,displayed name,action,section,utc timestamp
User 4,AE,Device 0,0,,"Manifest: Season 1: ""Pilot""",play,prequery_results,8/1/22 13:59
User 4,AE,Device 0,0,,,select,prequery_results,8/1/22 13:59
User 4,AE,Device 0,0,,"Manifest: Season 1: ""Pilot""",play,prequery_results,8/1/22 13:59
User 4,AE,Device 0,0,,,select,prequery_results,8/1/22 13:59
User 4,AE,Device 0,0,the gray,The Gray Man,add,title_results,7/17/22 13:59
User 4,AE,Device 0,0,the gray,The Gray Man,select,title_results,7/17/22 13:59
User 4,AE,Device 0,0,,"Stranger Things 4: ""Chapter Nine: The Piggyback""",play,prequery_results,7/1/22 17:39
User 4,AE,Device 0,0,,"Stranger Things 4: ""Chapter Eight: Papa""",play,prequery_results,7/1/22 17:16
User 4,AE,Device 0,0,,"Stranger Things 4: ""Chapter Eight: Papa""",play,prequery_results,7/1/22 17:15
User 4,AE,Device 0,0,,"Stranger Things 4: ""Chapter Eight: Papa""",play,prequery_results,7/1/22 17:04
User 4,AE,Device 0,0,,,select,prequery_results,7/1/22 17:04
User 4,AE,Device 0,0,stra,"Stranger Things 4: ""Chapter Eight: Papa""",play,title_results,7/1/22 14:28
User 4,AE,Device 0,0,stra,"Stranger Things 4: ""Chapter Eight: Papa""",play,title_results,7/1/22 14:13
User 4,AE,Device 0,0,stra,"Stranger Things 4: ""Chapter Eight: Papa""",play,title_results,7/1/22 14:10
User 4,AE,Device 0,0,stra,,select,title_results,7/1/22 14:09
User 4,AE,Device 0,0,sarah shahi,A Perfect Pairing,select,title_results,6/28/22 4:00
User 4,AE,Device 0,0,asu,Asura Guru,play,title_results,6/27/22 7:49
User 4,AE,Device 0,0,asu,Asura Guru,select,title_results,6/27/22 7:48
User 4,AE,Device 0,0,asura,Asura Guru,play,title_results,6/27/22 5:19
User 4,AE,Device 0,0,asura,Asura Guru,play,title_results,6/27/22 5:10
User 4,AE,Device 0,0,asura,Asura Guru,select,title_results,6/27/22 5:10
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Suicidal Tendencies""",play,title_results,6/14/22 3:40
User 4,AE,Device 0,0,arr,,select,title_results,6/14/22 3:40
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Suicidal Tendencies""",play,title_results,6/13/22 22:02
User 4,AE,Device 0,0,arr,,select,title_results,6/13/22 22:02
User 4,AE,Device 0,0,arr,,select,title_results,6/13/22 22:02
