Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
User 4,Source 0,signupPrompt,,,10/8/22 14:04
User 4,Source 0,browseTitles,,,10/8/22 14:04
User 4,Source 1,movieDetails,,,9/30/22 14:53
User 4,Source 1,browseTitles,,,9/30/22 14:53
User 4,Source 1,movieDetails,,,9/30/22 14:53
User 4,Source 1,episodesSelector,,,9/30/22 14:53
User 4,Source 1,episodesSelector,,,9/30/22 14:53
User 4,Source 1,movieDetails,,,9/30/22 14:53
User 4,Source 1,playback,,,9/30/22 14:53
User 4,Source 1,movieDetails,,,9/30/22 14:53
User 4,Source 1,movieDetails,,,9/30/22 14:53
User 4,Source 1,playback,,,9/30/22 14:53
User 4,Source 1,profilesGate,,,9/30/22 14:52
User 4,Source 1,movieDetails,,,9/30/22 14:52
User 4,Source 1,profilesGate,,,9/30/22 14:52
User 4,Source 0,profilesGate,,,9/25/22 4:48
User 4,Source 0,browseTitles,,,9/25/22 4:48
User 4,Source 0,browseTitles,,,9/25/22 4:48
User 4,Source 0,browseTitles,,,9/25/22 4:48
User 4,Source 0,settings,,,9/24/22 21:52
User 4,Source 0,accountMenu,,,9/24/22 21:52
User 4,Source 0,webLink,,,9/24/22 21:52
User 4,Source 0,accountMenu,,,9/24/22 21:52
User 4,Source 0,accountMenu,,,9/24/22 21:52
User 4,Source 0,webLink,,,9/24/22 21:52
User 4,Source 0,browseTitles,,,9/24/22 21:52
User 4,Source 0,accountMenu,,,9/24/22 21:52
User 4,Source 0,profilesGate,,,9/24/22 21:52
User 4,Source 0,browseTitles,,,9/24/22 21:52
User 4,Source 1,playback,,,9/22/22 9:57
User 4,Source 1,postPlay,,,9/22/22 9:57
User 4,Source 1,movieDetails,,,9/22/22 8:50
User 4,Source 1,playback,,,9/22/22 8:50
User 4,Source 1,profilesGate,,,9/22/22 8:50
User 4,Source 1,profilesGate,,,9/22/22 8:50
User 4,Source 1,movieDetails,,,9/22/22 8:50
User 4,Source 1,screenSaver,,,9/22/22 5:15
User 4,Source 1,movieDetails,,,9/22/22 5:15
User 4,Source 1,movieDetails,,,9/22/22 5:15
User 4,Source 1,screenSaver,,,9/22/22 5:15
User 4,Source 1,movieDetails,,,9/22/22 5:10
User 4,Source 1,screenSaver,,,9/22/22 5:10
User 4,Source 1,playback,,,9/22/22 5:05
User 4,Source 1,movieDetails,,,9/22/22 5:05
User 4,Source 1,playback,,,9/22/22 4:30
User 4,Source 1,movieDetails,,,9/22/22 4:30
User 4,Source 1,profilesGate,,,9/22/22 4:30
User 4,Source 1,movieDetails,,,9/22/22 4:30
User 4,Source 1,profilesGate,,,9/22/22 4:30
User 4,Source 1,screenSaver,,,9/21/22 16:18
User 4,Source 1,movieDetails,,,9/21/22 16:18
User 4,Source 1,movieDetails,,,9/21/22 16:13
User 4,Source 1,screenSaver,,,9/21/22 16:13
User 4,Source 1,playback,,,9/21/22 15:54
User 4,Source 1,movieDetails,,,9/21/22 15:54
User 4,Source 1,movieDetails,,,9/21/22 15:19
User 4,Source 1,playback,,,9/21/22 15:19
User 4,Source 1,profilesGate,,,9/21/22 15:19
User 4,Source 1,movieDetails,,,9/21/22 15:19
User 4,Source 1,profilesGate,,,9/21/22 15:19
User 4,Source 1,movieDetails,,,9/20/22 15:21
User 4,Source 1,playback,,,9/20/22 15:21
User 4,Source 1,movieDetails,,,9/20/22 14:55
User 4,Source 1,playback,,,9/20/22 14:55
User 4,Source 1,browseTitles,,,9/20/22 14:55
User 4,Source 1,movieDetails,,,9/20/22 14:55
User 4,Source 1,profilesGate,,,9/20/22 14:55
User 4,Source 1,browseTitles,,,9/20/22 14:55
User 4,Source 1,profilesGate,,,9/20/22 14:55
User 4,Source 1,browseTitles,,,9/19/22 4:04
User 4,Source 1,movieDetails,,,9/19/22 4:04
User 4,Source 1,episodesSelector,,,9/19/22 4:04
User 4,Source 1,movieDetails,,,9/19/22 4:04
User 4,Source 1,movieDetails,,,9/19/22 4:04
User 4,Source 1,episodesSelector,,,9/19/22 4:04
